id,nome,preco_atual,capitalizacao_mercado,variacao_preco_24h,data_da_coleta
bitcoin,Bitcoin,80125.0,1604781307896.0,1.81286,2026-05-04 18:50:00
ethereum,Ethereum,2360.62,285003196923.0,1.27316,2026-05-04 18:50:00
tether,Tether,0.999803,189554156242.0,0.00182,2026-05-04 18:50:00
ripple,XRP,1.4,86718472437.0,0.69363,2026-05-04 18:50:00
binancecoin,BNB,626.03,84357850754.0,1.08204,2026-05-04 18:50:00
usd-coin,USDC,0.999771,77800376991.0,-0.00957,2026-05-04 18:50:00
solana,Solana,84.69,48814045947.0,0.55432,2026-05-04 18:50:00
tron,TRON,0.340201,32247577811.0,0.28608,2026-05-04 18:50:00
figure-heloc,Figure Heloc,1.034,17643619759.0,-0.28638,2026-05-04 18:50:00
dogecoin,Dogecoin,0.111031,17093369552.0,2.45151,2026-05-04 18:50:00
whitebit,WhiteBIT Coin,59.71,12742135440.0,1.58446,2026-05-04 18:50:00
usds,USDS,0.999832,11353470436.0,0.00496,2026-05-04 18:50:00
hyperliquid,Hyperliquid,41.38,9866224721.0,0.76888,2026-05-04 18:50:00
leo-token,LEO Token,10.31,9493454903.0,-0.03519,2026-05-04 18:50:00
cardano,Cardano,0.252034,9318096248.0,0.53968,2026-05-04 18:50:00
bitcoin-cash,Bitcoin Cash,444.16,8896263301.0,-0.19825,2026-05-04 18:50:00
monero,Monero,394.92,7297089222.0,0.32044,2026-05-04 18:50:00
zcash,Zcash,412.43,6879644657.0,1.59907,2026-05-04 18:50:00
chainlink,Chainlink,9.42,6845788694.0,2.80509,2026-05-04 18:50:00
canton-network,Canton,0.146724,5643039399.0,-1.13619,2026-05-04 18:50:00
