id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,data_da_coleta
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,80125.0,1604781307896.0,1,1604781307896,58110354784,80624.0,78329.0,1426.68,1.81286,29313799252.0,1.86064,20023521.0,20023521.0,21000000.0,126080.0,-36.4492,2025-10-06T18:57:42.558Z,67.81,118062.44283,2013-07-06T00:00:00.000Z,,2026-05-04T18:49:56.923Z,2026-05-04 18:50:00
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2360.62,285003196923.0,2,285003196923,26419178377,2393.2,2310.43,29.68,1.27316,3733451047.0,1.32736,120687385.4620621,120687385.4620621,,4946.05,-52.27263,2025-08-24T19:21:03.333Z,0.432979,545104.22397,2015-10-20T00:00:00.000Z,"{'times': 38.38118664404538, 'currency': 'btc', 'percentage': 3838.118664404538}",2026-05-04T18:49:49.459Z,2026-05-04 18:50:00
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999803,189554156242.0,3,195020114098,91435905335,0.999856,0.999681,1.815e-05,0.00182,10481825.0,0.00553,189588224246.7803,195055164483.2762,,1.32,-24.43477,2018-07-24T00:00:00.000Z,0.572521,74.63114,2015-03-02T00:00:00.000Z,,2026-05-04T18:49:49.705Z,2026-05-04 18:50:00
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.4,86718472437.0,4,140309615011,2521833954,1.42,1.38,0.00966824,0.69363,582479252.0,0.67623,61796225236.0,99985670046.0,100000000000.0,3.65,-61.50909,2025-07-18T03:40:53.808Z,0.00268621,52149.29786,2014-05-22T00:00:00.000Z,,2026-05-04T18:49:56.633Z,2026-05-04 18:50:00
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,626.03,84357850754.0,5,84357849659,1734633613,638.21,615.79,6.7,1.08204,896069651.0,1.07363,134785928.79,134785927.04,200000000.0,1369.99,-54.30399,2025-10-13T08:41:24.131Z,0.0398177,1572144.39614,2017-10-19T00:00:00.000Z,,2026-05-04T18:49:56.611Z,2026-05-04 18:50:00
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999771,77800376991.0,6,77833810998,18628892233,1.0,0.999493,-9.5706997050082e-05,-0.00957,615122840.0,0.79694,77818391556.57475,77851833305.68326,,1.043,-4.18254,2018-11-15T00:00:00.000Z,0.877647,13.92071,2023-03-11T08:02:13.981Z,,2026-05-04T18:49:49.350Z,2026-05-04 18:50:00
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,84.69,48814045947.0,7,52996085299,4612788468,85.81,83.38,0.466879,0.55432,266111596.0,0.54814,576326252.0013552,625701775.3465867,,293.31,-71.12537,2025-01-19T11:15:27.957Z,0.500801,16811.44698,2020-05-11T19:35:23.449Z,,2026-05-04T18:49:56.852Z,2026-05-04 18:50:00
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.340201,32247577811.0,8,32247578279,606742749,0.341374,0.337535,0.00097049,0.28608,95860249.0,0.29815,94791359269.33229,94791360647.0624,,0.431288,-21.11973,2024-12-04T00:10:40.323Z,0.00180434,18754.6018,2017-11-12T00:00:00.000Z,"{'times': 178.05338439422528, 'currency': 'usd', 'percentage': 17805.338439422525}",2026-05-04T18:49:51.069Z,2026-05-04 18:50:00
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.034,17643619759.0,9,17643619759,17399953,1.037,1.034,-0.002970999999999835,-0.28638,-50673139.79191208,-0.28638,17055920495.427,17055920495.427,,1.049,-1.3975,2026-03-09T17:00:25.937Z,0.155357,565.85983,2025-10-31T14:27:24.456Z,,2026-05-04T18:49:44.488Z,2026-05-04 18:50:00
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.111031,17093369552.0,10,18836356511,2598988027,0.113484,0.107795,0.00265681,2.45151,396304008.0,2.37349,154100446383.7052,169813853126.5791,,0.731578,-84.82304,2021-05-08T05:08:23.458Z,8.69e-05,127663.52595,2015-05-06T00:00:00.000Z,,2026-05-04T18:49:43.828Z,2026-05-04 18:50:00
